url,has_https,len_hostname,len_path,count_at,count_hyphen,count_digits,label
https://example.com/login,1,11,6,0,0,0,0
http://secure-bank.example.com/update,0,23,7,0,1,0,1
https://accounts.google.com/,1,19,1,0,0,0,0
http://example.com-verify.secure/login,0,25,6,0,1,0,1
https://shop.example.com/product/12345,1,16,14,0,0,5,0
http://192.168.0.1/login,0,11,6,0,0,8,1
https://paypal.com/secure,1,10,7,0,0,0,0
http://verify-paypal.example.net/login,0,25,6,0,1,0,1
https://github.com/user/repo,1,10,10,0,0,0,0
http://example.com@malicious.com/login,0,25,6,1,0,0,1
https://banking.example.com/secure-login,1,19,13,0,1,0,1
http://short.io/1a2b3c,0,8,7,0,0,3,0
https://safe-site.org/,1,13,1,0,1,0,0
http://login.example.com/signin,0,17,7,0,0,0,1
https://news.example.com/article/2023/11/12,1,16,19,0,0,8,0
http://paypal-66.com/47079,0,13,6,0,1,7,1
http://news.example.com,0,16,0,0,0,0,0
https://example.com/76543,1,11,6,0,0,5,0
https://login.example.com,1,17,0,0,0,0,0
http://example.com,0,11,0,0,0,0,0
https://banking.example.com/73666,1,19,6,0,0,5,0
https://paypal.com,1,10,0,0,0,0,0
https://safe-site.org,1,13,0,0,1,0,0
http://news.example.com/40501,0,16,6,0,0,5,1
https://192-88.168-88.0-88.1/27137,1,20,6,0,3,19,1
https://short.io,1,8,0,0,0,0,0
http://short.io/93978,0,8,6,0,0,5,1
http://example.com/81816,0,11,6,0,0,5,1
https://safe-site.org,1,13,0,0,1,0,0
http://verify-paypal.example.net,0,25,0,0,1,0,1
http://secure-bank.example.com/63177,0,23,6,0,1,5,1
http://verify-paypal-27.example-27.net,0,31,0,0,3,4,1
https://example-82.com-verify-82.secure,1,31,0,0,3,4,1
https://example.com@malicious.com,1,25,0,1,0,0,0
http://short.io,0,8,0,0,0,0,0
http://login.example.com/40618,0,17,6,0,0,5,1
http://safe-site.org,0,13,0,0,1,0,1
https://paypal.com/56643,1,10,6,0,0,5,0
http://github.com,0,10,0,0,0,0,0
https://banking.example.com/43994,1,19,6,0,0,5,0
https://safe-site.org/5470,1,13,5,0,1,4,1
https://paypal.com/24390,1,10,6,0,0,5,0
http://github.com/97048,0,10,6,0,0,5,1
http://secure-bank.example.com,0,23,0,0,1,0,1
http://shop.example.com,0,16,0,0,0,0,0
http://login.example.com,0,17,0,0,0,0,1
http://news-46.example-46.com/4931,0,22,5,0,2,8,1
https://github.com/75552,1,10,6,0,0,5,0
https://example.com-verify.secure,1,25,0,0,1,0,1
https://example.com@malicious.com/27920,1,25,6,1,0,5,1
http://paypal.com/50969,0,10,6,0,0,5,1
http://shop-8.example-8.com/67047,0,20,6,0,2,7,1
http://github-21.com,0,13,0,0,1,2,1
https://login.example.com,1,17,0,0,0,0,0
http://example.com@malicious.com/33544,0,25,6,1,0,5,1
http://paypal.com,0,10,0,0,0,0,0
http://example-20.com-verify-20.secure/69768,0,31,6,0,3,9,1
https://example.com/80704,1,11,6,0,0,5,0
http://github.com/6647,0,10,5,0,0,4,1
http://example.com,0,11,0,0,0,0,0
https://github-96.com,1,13,0,0,1,2,0
http://example.com,0,11,0,0,0,0,0
http://example.com@malicious.com/67369,0,25,6,1,0,5,1
http://news.example.com,0,16,0,0,0,0,0
http://example.com,0,11,0,0,0,0,0
http://example-56.com,0,14,0,0,1,2,1
http://example.com,0,11,0,0,0,0,0
https://example-4.com-verify-4.secure/46305,1,29,6,0,3,7,1
http://shop.example.com,0,16,0,0,0,0,0
https://example-65.com/69281,1,14,6,0,1,7,1
http://paypal.com/45669,0,10,6,0,0,5,1
https://github.com,1,10,0,0,0,0,0
https://paypal.com/62858,1,10,6,0,0,5,0
http://verify-paypal.example.net/27850,0,25,6,0,1,5,1
http://secure-bank.example.com/87091,0,23,6,0,1,5,1
http://login.example.com/6002,0,17,5,0,0,4,1
http://paypal.com,0,10,0,0,0,0,0
http://news-12.example-12.com,0,22,0,0,2,4,1
http://secure-bank-24.example-24.com,0,29,0,0,3,4,1
https://example.com-verify.secure,1,25,0,0,1,0,1
https://news.example.com/3207,1,16,5,0,0,4,0
https://192.168.0.1,1,11,0,0,0,8,0
https://example.com@malicious.com,1,25,0,1,0,0,0
http://example.com-verify.secure/11014,0,25,6,0,1,5,1
http://login.example.com,0,17,0,0,0,0,1
https://example.com/91120,1,11,6,0,0,5,0
https://example-39.com/62001,1,14,6,0,1,7,1
https://short.io,1,8,0,0,0,0,0
https://banking.example.com/51615,1,19,6,0,0,5,0
https://short.io,1,8,0,0,0,0,0
https://banking.example.com,1,19,0,0,0,0,0
http://banking.example.com/19970,0,19,6,0,0,5,1
http://secure-bank-80.example-80.com/78014,0,29,6,0,3,9,1
https://secure-bank.example.com/78848,1,23,6,0,1,5,1
https://example.com@malicious.com,1,25,0,1,0,0,0
https://192-80.168-80.0-80.1,1,20,0,0,3,14,1
http://shop.example.com/50758,0,16,6,0,0,5,1
